0.16977,0.10131,1,1
0.62281,0.61666,0.8466,5
0.71031,0.83865,0.71613,10
0.65945,0.89192,0.5941,15
0.62062,0.93129,0.51691,20
0.57187,0.94054,0.4645,25
0.54445,0.94367,0.43775,30
0.50721,0.94925,0.39921,35
0.47983,0.95165,0.36759,40
0.45787,0.95412,0.34845,45
0.44042,0.95202,0.33269,50
0.42005,0.95014,0.31509,55
0.4108,0.95426,0.30179,60
0.39598,0.95478,0.29101,65
0.38163,0.95657,0.27791,70
0.3695,0.96178,0.26325,75
0.35562,0.96415,0.25162,80
0.34756,0.96439,0.24582,85
0.34226,0.96445,0.24091,90
0.33424,0.9644,0.23501,95
0.32557,0.96521,0.22895,100
