0.0073222,0.0057756,0.01,1
0.51837,0.54519,0.5067,5
0.77088,0.82047,0.74454,10
0.82908,0.88052,0.80018,15
0.86875,0.91663,0.84187,20
0.87819,0.92255,0.85024,25
0.88264,0.92628,0.85408,30
0.88564,0.93171,0.85545,35
0.88625,0.93269,0.85446,40
0.88721,0.93249,0.85645,45
0.89029,0.93296,0.86052,50
0.89189,0.93262,0.86336,55
0.90236,0.9423,0.87394,60
0.90206,0.93944,0.876,65
0.90364,0.93871,0.88038,70
0.90638,0.94381,0.87963,75
0.90694,0.94558,0.87917,80
0.90761,0.94443,0.88136,85
0.90751,0.94293,0.88249,90
0.90879,0.94217,0.8848,95
0.90954,0.94199,0.88626,100
